feature,importance_pct,mi_score,f_score,rf_norm,mi_norm,f_norm,consensus_score,rank
pymfe_range.sd,0.4273232567009017,0.33861025912600073,1.8694904122332836,0.01380364474506642,0.6862610872499249,0.1967565191613971,0.2704267398214232,38
skewness_max,0.8739460810971424,0.24075672605845,3.4927507269960043,0.0282307153674337,0.4879414256793774,0.3707532983179207,0.2689007033461629,39
pymfe_mean.sd,0.4010856296601904,0.32887012079211253,1.997104180961707,0.012956101633512757,0.6665207582349925,0.210435400196579,0.26826928818287654,40
log_n_instances,0.6454545967011439,0.13572031864371148,5.514458494879851,0.020849850346827403,0.2750642395618657,0.5874595387208557,0.26709707362354734,41
skewness_mean,1.0020452819876264,0.2971839852784375,2.3157802917325214,0.03236865036977968,0.6023024977945385,0.24459419553209755,0.2670164681459027,42
pymfe_cor.mean,0.4264164915494835,0.2721936067423232,2.9313575809772585,0.013774353888973035,0.5516545215954497,0.3105777378366752,0.26417941938522665,43
pymfe_can_cor.mean,0.8556621927191425,0.39618453744943194,0.3213100064292451,0.02764009855505409,0.8029468218813886,0.03080753259819223,0.2611823457658959,44
pymfe_eigenvalues.mean,0.46863261247811694,0.3040812156962489,2.0648809344245667,0.015138043617242369,0.6162811080639314,0.21770036977476223,0.25624966079850503,45
pymfe_var.sd,0.42675414314573434,0.3008039681947099,2.0645363332065547,0.013785260907510323,0.6096391136973155,0.21766343207507094,0.25370486809472004,46
pymfe_var.mean,0.4384809941590278,0.30032933032671627,2.064880934424566,0.014164068479594156,0.6086771655857018,0.21770036977476218,0.25357888799997685,47
pymfe_eigenvalues.sd,0.3290977067750279,0.3010646244443631,2.0645017641954233,0.010630705816973939,0.6101673854683693,0.21765972663328764,0.25260041595728666,48
pymfe_sd.mean,0.37737055849244366,0.2996266231074649,1.9756939780672336,0.012190043591105133,0.6072529895387428,0.20814044706377194,0.2494940484171965,49
pymfe_cov.sd,0.4978984454606765,0.2921596078922879,1.9562198149586012,0.01608340560099804,0.5921195969672783,0.20605301744644275,0.24588514656451554,50
pymfe_t_mean.mean,0.49418376883346177,0.2874357392014808,2.030393060139415,0.0159634119528621,0.5825457368245092,0.2140036250253234,0.2453501733360946,51
pymfe_gravity,0.8251835741835353,0.3097711472159421,1.396780271506252,0.02665556046594093,0.6278128868149978,0.1460868630297782,0.2428321491398092,52
pymfe_median.mean,0.36117899279945376,0.2782183022266911,2.0338551710531134,0.011667014204832167,0.5638647661524923,0.21437472764058957,0.23813865381985738,53
