feature1,feature2,correlation
pymfe_eigenvalues.sd,pymfe_sd.sd,0.9997500832439139
pymfe_sd.sd,pymfe_var.sd,0.9997500302530712
pymfe_sd.sd,pymfe_var.mean,0.9997491215173816
pymfe_eigenvalues.mean,pymfe_sd.sd,0.9997491215173814
pymfe_cov.sd,pymfe_eigenvalues.sd,0.999746737033617
pymfe_cov.sd,pymfe_var.sd,0.9997465605274007
pymfe_cov.sd,pymfe_var.mean,0.9997457455239653
pymfe_cov.sd,pymfe_eigenvalues.mean,0.9997457455239653
pymfe_cov.sd,pymfe_g_mean.sd,0.9997437267178716
pymfe_cov.sd,pymfe_h_mean.sd,0.9997436818595333
pymfe_cov.sd,pymfe_g_mean.mean,0.9997436508589437
pymfe_cov.sd,pymfe_h_mean.mean,0.9997435892218196
pymfe_g_mean.sd,pymfe_sd.sd,0.9997378758119788
pymfe_h_mean.sd,pymfe_sd.sd,0.9997378125372497
pymfe_g_mean.mean,pymfe_sd.sd,0.9997377688552919
pymfe_h_mean.mean,pymfe_sd.sd,0.9997376821140836
pymfe_cov.sd,pymfe_sd.sd,0.9996817381927994
pymfe_cov.sd,pymfe_sd.mean,0.9996589829540441
pymfe_max.mean,pymfe_sd.mean,0.9996072048939917
pymfe_max.mean,pymfe_sd.sd,0.9995850598843897
class_prob_mean,pymfe_freq_class.mean,0.9995743714874838
pymfe_max.sd,pymfe_sd.sd,0.9995254998292643
pymfe_max.sd,pymfe_range.mean,0.9995193713767835
pymfe_max.sd,pymfe_sd.mean,0.9994926267184407
pymfe_range.sd,pymfe_sd.mean,0.9993302593375017
pymfe_range.sd,pymfe_sd.sd,0.9993226159068784
pymfe_range.mean,pymfe_sd.mean,0.9991430827145804
pymfe_iq_range.mean,pymfe_max.mean,0.9990868186892414
pymfe_iq_range.sd,pymfe_max.mean,0.9990581200331147
pymfe_range.mean,pymfe_sd.sd,0.9990436946047773
pymfe_max.mean,pymfe_mean.mean,0.999032574840326
pymfe_mad.mean,pymfe_max.mean,0.9990242595983586
pymfe_max.mean,pymfe_mean.sd,0.9989951653843071
pymfe_mad.sd,pymfe_max.mean,0.9989951496784852
pymfe_iq_range.mean,pymfe_max.sd,0.9989354397300428
pymfe_max.mean,pymfe_t_mean.mean,0.9989176830786898
pymfe_iq_range.sd,pymfe_max.sd,0.9989152874783279
pymfe_max.mean,pymfe_var.sd,0.9989127289315994
pymfe_eigenvalues.sd,pymfe_max.mean,0.9989126961684536
pymfe_eigenvalues.mean,pymfe_max.mean,0.9989115220413315
pymfe_max.mean,pymfe_var.mean,0.9989115220413315
pymfe_cov.mean,pymfe_max.mean,0.9989110094993492
pymfe_max.mean,pymfe_median.mean,0.9989016825418449
pymfe_g_mean.sd,pymfe_max.mean,0.9988893238694593
pymfe_h_mean.sd,pymfe_max.mean,0.9988892004844233
pymfe_g_mean.mean,pymfe_max.mean,0.9988891154111157
pymfe_h_mean.mean,pymfe_max.mean,0.9988889467316664
pymfe_max.mean,pymfe_t_mean.sd,0.9988847811530408
pymfe_max.mean,pymfe_median.sd,0.9988707297724586
pymfe_mad.mean,pymfe_max.sd,0.9988630320288062
pymfe_max.sd,pymfe_mean.mean,0.9988627503746579
pymfe_mad.sd,pymfe_max.sd,0.9988402680198898
pymfe_max.sd,pymfe_mean.sd,0.9988379194076108
pymfe_max.sd,pymfe_t_mean.mean,0.99872972861345
pymfe_cov.mean,pymfe_max.sd,0.9987228629037623
pymfe_max.sd,pymfe_var.sd,0.9987214078872092
pymfe_eigenvalues.sd,pymfe_max.sd,0.9987213837696819
pymfe_eigenvalues.mean,pymfe_max.sd,0.9987199194781651
pymfe_max.sd,pymfe_var.mean,0.9987199194781651
pymfe_max.sd,pymfe_median.mean,0.9987107252550447
pymfe_max.sd,pymfe_t_mean.sd,0.9987101967837321
pymfe_g_mean.sd,pymfe_max.sd,0.9986944935815755
pymfe_h_mean.sd,pymfe_max.sd,0.9986943768885694
pymfe_g_mean.mean,pymfe_max.sd,0.9986942964233575
pymfe_h_mean.mean,pymfe_max.sd,0.9986941368661649
pymfe_max.sd,pymfe_median.sd,0.9986931317522646
pymfe_iq_range.mean,pymfe_range.sd,0.9986817294467738
pymfe_iq_range.sd,pymfe_range.sd,0.9986550586867572
pymfe_cov.sd,pymfe_max.mean,0.9986377295970855
pymfe_mean.mean,pymfe_range.sd,0.9986163172123025
pymfe_mad.mean,pymfe_range.sd,0.9986050766536487
pymfe_mean.sd,pymfe_range.sd,0.9985778862982513
pymfe_mad.sd,pymfe_range.sd,0.9985771465957456
pymfe_iq_range.mean,pymfe_range.mean,0.9985086144563151
pymfe_cov.sd,pymfe_max.sd,0.998479533165647
pymfe_range.sd,pymfe_t_mean.mean,0.9984770583443949
pymfe_mean.mean,pymfe_range.mean,0.9984731457570508
pymfe_iq_range.sd,pymfe_range.mean,0.99847008628107
pymfe_range.sd,pymfe_var.sd,0.9984694231961679
pymfe_eigenvalues.sd,pymfe_range.sd,0.9984693819846744
pymfe_range.sd,pymfe_var.mean,0.9984679730335498
pymfe_eigenvalues.mean,pymfe_range.sd,0.9984679730335497
pymfe_cov.mean,pymfe_range.sd,0.9984664951348661
pymfe_median.mean,pymfe_range.sd,0.9984572959448927
pymfe_mad.mean,pymfe_range.mean,0.9984444674730281
pymfe_range.sd,pymfe_t_mean.sd,0.9984443671277297
pymfe_g_mean.sd,pymfe_range.sd,0.9984414007902541
pymfe_h_mean.sd,pymfe_range.sd,0.998441257908672
pymfe_g_mean.mean,pymfe_range.sd,0.9984411594102586
pymfe_h_mean.mean,pymfe_range.sd,0.9984409641545422
pymfe_median.sd,pymfe_range.sd,0.9984268704055336
pymfe_mean.sd,pymfe_range.mean,0.9984134404261507
pymfe_mad.sd,pymfe_range.mean,0.9984079607356121
pymfe_range.mean,pymfe_t_mean.mean,0.9983568094860197
pymfe_range.mean,pymfe_var.sd,0.998355956506807
pymfe_eigenvalues.sd,pymfe_range.mean,0.9983558963127153
pymfe_range.mean,pymfe_var.mean,0.9983549170784016
