dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
covertype,high,600,sha,9,9,0.6284482494178292,7,600.9946970939636
covertype,high,600,hyperband,0,0,0.6630539774214457,7,701.7590100765228
covertype,high,600,hyperband,1,1,0.6630539774214457,6,612.6294918060303
covertype,high,600,hyperband,2,2,0.5881157199090895,10,683.0279288291931
covertype,high,600,hyperband,3,3,0.4876952457739235,9,613.211462020874
covertype,high,600,hyperband,4,4,0.5881157199090895,8,690.4898760318756
covertype,high,600,hyperband,5,5,0.5881157199090895,7,634.1211540699005
covertype,high,600,hyperband,6,6,0.5881157199090895,7,781.4385008811951
covertype,high,600,hyperband,7,7,0.6284482494178292,9,611.453330039978
covertype,high,600,hyperband,8,8,0.7024507411472722,9,759.8273160457611
covertype,high,600,hyperband,9,9,0.7024507411472722,8,656.5712130069733
