bracket,round,config,resource,score,time
4,0,"{'hidden_layer_sizes': (77, 119), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.004772664843717883), 'learning_rate_init': np.float64(0.005524914461439535), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7502819828341316,0.25832605361938477
4,0,"{'hidden_layer_sizes': (282, 67, 73), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.08650511304330653), 'learning_rate_init': np.float64(0.0013477877810481626), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7761195169763764,0.3938930034637451
4,0,"{'hidden_layer_sizes': (115,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.031631004804465644), 'learning_rate_init': np.float64(0.00017078672979011715), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7192407819380643,0.32899928092956543
4,0,"{'hidden_layer_sizes': (128,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0002884499562186879), 'learning_rate_init': np.float64(0.005782889616276267), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7566773697515017,0.21340012550354004
4,0,"{'hidden_layer_sizes': (211,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.002116579015805163), 'learning_rate_init': np.float64(0.0014440072995677664), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.768193428097049,0.3998219966888428
4,0,"{'hidden_layer_sizes': (51, 159), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.08596580900768547), 'learning_rate_init': np.float64(0.004400812176035255), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7703111528666992,0.21486282348632812
4,0,"{'hidden_layer_sizes': (232,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0007726388601315525), 'learning_rate_init': np.float64(0.00039587867273014926), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7487606744602321,0.41480088233947754
4,0,"{'hidden_layer_sizes': (155,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.00010292276408082563), 'learning_rate_init': np.float64(0.0007998986363756805), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7483624642974828,0.20340490341186523
4,0,"{'hidden_layer_sizes': (100, 208), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(1.0329960589446393e-05), 'learning_rate_init': np.float64(0.0002846812941423648), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.758121897341808,0.5366871356964111
4,0,"{'hidden_layer_sizes': (70, 245, 124), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0038904630585511715), 'learning_rate_init': np.float64(0.0003142421953428667), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7109911998555521,0.345473051071167
