dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
fashion_mnist,very_low,60,sha,8,8,0.8688963458853514,15,61.88438105583191
fashion_mnist,very_low,60,sha,9,9,0.8708831771082854,15,60.27301025390625
fashion_mnist,very_low,60,hyperband,0,0,0.8598794881276012,33,61.349323987960815
fashion_mnist,very_low,60,hyperband,1,1,0.8588960325823658,34,61.1729199886322
fashion_mnist,very_low,60,hyperband,2,2,0.8546265540139805,36,60.66739082336426
fashion_mnist,very_low,60,hyperband,3,3,0.8571446497765121,33,61.46348023414612
fashion_mnist,very_low,60,hyperband,4,4,0.8544243386860287,34,60.57538318634033
fashion_mnist,very_low,60,hyperband,5,5,0.8607602043856982,37,61.492039918899536
fashion_mnist,very_low,60,hyperband,6,6,0.8606317530044634,35,61.51243805885315
fashion_mnist,very_low,60,hyperband,7,7,0.8604310981941877,37,60.691864013671875
fashion_mnist,very_low,60,hyperband,8,8,0.8583423794383064,34,60.736430168151855
fashion_mnist,very_low,60,hyperband,9,9,0.8570743197212202,36,60.53205704689026
fashion_mnist,low,120,random_search,0,0,0.8853226094266398,5,146.0859339237213
fashion_mnist,low,120,random_search,1,1,0.884650054068576,2,127.12129592895508
fashion_mnist,low,120,random_search,2,2,0.8845846615790713,4,149.96280431747437
fashion_mnist,low,120,random_search,3,3,0.8857450047960129,5,117.18688893318176
fashion_mnist,low,120,random_search,4,4,0.8842591486789554,4,124.60991621017456
fashion_mnist,low,120,random_search,5,5,0.8875193144098441,1,126.15388536453248
fashion_mnist,low,120,random_search,6,6,0.8854094527452423,5,136.29917907714844
fashion_mnist,low,120,random_search,7,7,0.8815931585060146,4,175.57655382156372
fashion_mnist,low,120,random_search,8,8,0.8847617932965063,4,116.73212122917175
fashion_mnist,low,120,random_search,9,9,0.8873192708856497,5,132.30914902687073
fashion_mnist,low,120,sha,0,0,0.8821577400878958,28,123.78457975387572
fashion_mnist,low,120,sha,1,1,0.8810488581004212,29,126.77878093719482
fashion_mnist,low,120,sha,2,2,0.8837030613862797,30,147.14384174346924
fashion_mnist,low,120,sha,3,3,0.8798124782844061,28,128.2983660697937
fashion_mnist,low,120,sha,4,4,0.877915023763363,29,123.68242406845091
fashion_mnist,low,120,sha,5,5,0.879336373720942,30,124.7993860244751
fashion_mnist,low,120,sha,6,6,0.8788292266589245,28,138.41927289962769
fashion_mnist,low,120,sha,7,7,0.8821209523114172,29,120.36172533035278
fashion_mnist,low,120,sha,8,8,0.876405941131254,28,133.9780158996582
fashion_mnist,low,120,sha,9,9,0.880205478421499,29,123.45089101791382
fashion_mnist,low,120,hyperband,0,0,0.8598794881276012,69,120.97047090530396
fashion_mnist,low,120,hyperband,1,1,0.8588960325823658,71,122.07010626792908
fashion_mnist,low,120,hyperband,2,2,0.8562987749093077,71,122.94460606575012
fashion_mnist,low,120,hyperband,3,3,0.8571446497765121,65,120.2681050300598
fashion_mnist,low,120,hyperband,4,4,0.8559463328926924,70,120.18714022636414
fashion_mnist,low,120,hyperband,5,5,0.8607602043856982,73,122.70374178886414
fashion_mnist,low,120,hyperband,6,6,0.8606317530044634,70,120.37993597984314
fashion_mnist,low,120,hyperband,7,7,0.8604310981941877,75,120.15995693206789
fashion_mnist,low,120,hyperband,8,8,0.8586150813230683,72,120.5404360294342
fashion_mnist,low,120,hyperband,9,9,0.8570743197212202,72,120.5066978931427
fashion_mnist,medium,300,random_search,0,0,0.8853226094266398,9,298.63186478614807
fashion_mnist,medium,300,random_search,1,1,0.884650054068576,9,291.4347491264343
fashion_mnist,medium,300,random_search,2,2,0.8845846615790713,8,294.55099987983704
fashion_mnist,medium,300,random_search,3,3,0.8863863369990717,9,289.2951989173889
fashion_mnist,medium,300,random_search,4,4,0.8861227212728581,10,350.5496988296509
fashion_mnist,medium,300,random_search,5,5,0.8875193144098441,9,306.5095498561859
fashion_mnist,medium,300,random_search,6,6,0.8854094527452423,10,288.04372787475586
fashion_mnist,medium,300,random_search,7,7,0.885867616787102,11,336.8850631713867
fashion_mnist,medium,300,random_search,8,8,0.8847617932965063,11,354.5453202724457
fashion_mnist,medium,300,random_search,9,9,0.8873192708856497,11,337.8727469444275
fashion_mnist,medium,300,sha,0,0,0.8882008895343203,39,318.81482005119324
fashion_mnist,medium,300,sha,1,1,0.8869310672505989,37,376.66573095321655
fashion_mnist,medium,300,sha,2,2,0.8845846615790713,39,367.0910782814026
fashion_mnist,medium,300,sha,3,3,0.8844131849194473,38,349.6284968852997
fashion_mnist,medium,300,sha,4,4,0.8861227212728581,38,314.63630509376526
fashion_mnist,medium,300,sha,5,5,0.8860463627947416,38,364.626660823822
